OBJECTID,NLFID,COUNTY_CD,ROUTE_TYPE,ROUTE_NBR,CTL_BEGIN,CTL_END,TRANS_ID_DESCRIPTION,DIRECTION_OF_TRAVEL,ODOT_DISTRICT,DIVIDED_HWY,TRANS_ID_EXTENSION_CD,GAS_TAX_MILEAGE,JURISDICTION,PERP_YEAR_NBR,PRIMARY_IND,STREET_DIR_SUFFIX,STREET_DIRECTION_PREFIX,STREET_NAME_TXT,STREET_SPEC_SUFFIX,STREET_SUFFIX,LRS_CURRENT_SEGMENT_ID,ACCESS_CONTROL,BASE_LT_TYPE,BASE_RT_TYPE,FAP_IND,FED_AID_ROUTE,FUNCTION_CLASS,HPMS_SAMPLE_ID,LANES,LAST_CONSTRUCTION_DATE,LAST_RESURFACING_DATE,MAINTENANCE_AUTHORITY,MEDIAN_TYPE,MEDIAN_WIDTH,NHS,NHS_INTERMODAL,OWNERSHIP,PRIORITY_SYSTEM,SCENIC_BYWAYS,SCENIC_BYWAYS_ROUTE_ID,SHLD_LT_IN_PVD_WIDTH,SHLD_LT_OUT_PVD_WIDTH,SHLD_LT_TOTAL_WIDTH,SHLD_RT_IN_PVD_WIDTH,SHLD_RT_OUT_PVD_WIDTH,SHLD_RT_TOTAL_WIDTH,SHOULDER_TYPE,SURFACE_LT_WIDTH,SURFACE_RT_WIDTH,SURFACE_TYPE_LEFT,SURFACE_TYPE_RIGHT,TRUCK_ROUTE_IND,URBAN_AREA_CODE,LRS_EVENT_SEGMENT_ID,SPEED_LIMIT_NBR,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
5797021,CALLCR00006**C,ALL,CR,00006,1.693,1.778,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721952,NA,NA,NA,N,NA,5,020000601445,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,G,G,N,49852,8af3a8006e03f452016e03fbf3ab5fae,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,179.576485
5793845,CALLCR00006**C,ALL,CR,00006,1.778,1.863,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721953,NA,NA,NA,N,NA,5,020000601445,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,G,G,N,49852,8af3a8006e03f452016e03fbf3ab5faf,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,182.245929
5795401,CALLCR00006**C,ALL,CR,00006,1.863,1.95,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721954,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,G,G,N,49852,8af3a8006e03f452016e03fbf3ab5fb0,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,183.793829
5796333,CALLCR00006**C,ALL,CR,00006,1.95,2.115,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721955,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,G,G,N,49852,8af3a8006e03f452016e03fbf3ba5fb1,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,350.06795
5792989,CALLCR00006**C,ALL,CR,00006,2.115,2.21,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721956,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,G,G,N,49852,8af3a8006e03f452016e03fbf3ba5fb2,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,200.999062
5795190,CALLCR00006**C,ALL,CR,00006,2.21,2.397,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721957,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,G,G,N,49852,8af3a8006e03f452016e03fbf3f95fb3,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,396.178845
5794547,CALLCR00006**C,ALL,CR,00006,2.397,2.53,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721958,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,G,G,N,49852,8af3a8006e03f452016e03fbf3f95fb4,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,283.257816
5793572,CALLCR00006**C,ALL,CR,00006,2.53,2.701,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721959,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,G,G,N,49852,8af3a8006e03f452016e03fbf4575fb5,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,361.256311
5795359,CALLCR00006**C,ALL,CR,00006,2.701,2.856,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721960,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,G,G,N,49852,8af3a8006e03f452016e03fbf4575fb6,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,329.385461
5794428,CALLCR00006**C,ALL,CR,00006,2.856,2.909,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721961,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4575fb7,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,111.724712
