OBJECTID,ODOT_DISTRICT,NLFID,COUNTY_CD,COUNTY,ROUTE_TYPE,ROUTE_NBR,ROUTE_SUFFIX,CTL_BEGIN_NBR,CTL_END_NBR,STL_BEGIN_NBR,STL_END_NBR,BACKSTATION_CD,SECTION_LENGTH_NBR,NHS_CD,FUNCTIONAL_CLASS_CD,PRIMARY_SYSTEM_CD,POSTED_SPEED_NBR,FF_SPEED_NBR,TOTAL_LANES_NBR,LANE_WIDTH_NBR,CAPACITY_NBR,TOTAL_VOLUME_NBR,TRUCK_VOLUME_NBR,VMT_NBR,TRUCK_VMT_NBR,VOLUME_PER_LANE_NBR,CONGESTION_INDEX_NBR,VOLUME_CAPACITY_RATIO_NBR,PEAK_HOUR_NBR,VHT_NBR,CONGESTION_DELAY_NBR,PHYSICAL_DELAY_NBR,SPEED_LIMIT_DELAY_NBR,DELAY_RATIO_NBR,FWY_ART_NBR,DIRECTION_1_NBR,DIRECTION_2_NBR,MEDIAN_WIDTH_NBR,DIRECTION_1_HRS_NBR,DIRECTION_2_HRS_NBR,OVERRIDE_1_TXT,OVERRIDE_2_TXT,PKVMT_NBR,EXCEED_VMT_NBR,EXCEED_PKVMT_NBR,CAR_GROWTH_NBR,TRUCK_GROWTH_NBR,LOS_CD,EXD1Y1L_NBR,EXD2Y1L_NBR,EXD1Y1M_NBR,EXD2Y1M_NBR,EXD1Y1U_NBR,EXD2Y1U_NBR,EXD1Y2L_NBR,EXD2Y2L_NBR,EXD1Y2M_NBR,EXD2Y2M_NBR,EXD1Y2U_NBR,EXD2Y2U_NBR,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
1200370,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,13.874,14.699,13.874,14.699,NA,0.825,N,3,P,60,62,4,48,8446,6482,957,5348,790,2099,0.15,0.08,16,86.36,0,-2.88,6.86,0,1,2,2,0,0,0,NA,NA,411,0,0,0.57,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,1703.863548
1200371,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,14.699,14.712,14.699,14.712,NA,0.013,N,3,P,60,62,4,48,8446,5972,880,78,11,1933,0.14,0.08,16,1.25,0,-0.04,0.1,0,1,2,2,0,0,0,NA,NA,6,0,0,0.3,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,26.775843
1200372,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,14.712,15.712,14.712,15.712,NA,1,N,3,P,60,62,4,48,8446,5972,880,5972,880,1933,0.14,0.08,16,96.5,0,-3.22,7.67,0,1,2,2,0,0,0,NA,NA,460,0,0,0.3,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2066.564153
1200373,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,15.712,16.712,15.712,16.712,NA,1,N,3,P,60,62,4,48,8446,5972,880,5972,880,1933,0.14,0.08,16,96.5,0,-3.22,7.67,0,1,2,2,0,0,0,NA,NA,460,0,0,0.37,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2068.155543
1200374,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,16.712,17.712,16.712,17.712,NA,1,N,3,P,60,62,4,48,8446,5972,880,5972,880,1933,0.14,0.08,16,96.5,0,-3.22,7.67,0,1,2,2,0,0,0,NA,NA,460,0,0,0.37,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2070.488204
1200375,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,17.712,17.772,17.712,17.772,NA,0.06,N,3,P,60,62,4,48,8446,5972,880,358,53,1933,0.14,0.08,16,5.79,0,-0.19,0.46,0,1,2,2,0,0,0,NA,NA,28,0,0,0.37,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,125.008446
1200376,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,17.772,18.772,17.772,18.772,NA,1,N,3,P,60,62,4,48,8446,5972,880,5972,880,1933,0.14,0.08,16,96.5,0,-3.22,7.67,0,1,2,2,0,0,0,NA,NA,460,0,0,0.37,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2071.026523
1200377,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,18.772,19.772,18.772,19.772,NA,1,N,3,P,60,62,4,48,8446,5972,880,5972,880,1933,0.14,0.08,16,96.5,0,-3.22,7.67,0,1,2,2,0,0,0,NA,NA,460,0,0,0.43,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2071.237816
1200378,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,19.772,19.984,19.772,19.984,NA,0.212,N,3,P,60,62,4,48,8446,5972,880,1266,187,1933,0.14,0.08,16,20.46,0,-0.68,1.63,0,1,2,2,0,0,0,NA,NA,98,0,0,0.43,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,438.790108
1200379,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,19.984,20.096,19.984,20.096,NA,0.112,N,3,P,60,62,4,48,8446,4230,661,474,74,1388,0.1,0.05,16,7.65,0,-0.26,0.61,0,1,2,2,0,0,0,NA,NA,36,0,0,1.12,3.17,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,231.814941
